"Movie","YearReleased","Key","Value"
"Movie1",2003,"Actor1","Actor1"
"Movie2",2003,"Actor1","Actor1"
"Movie3",2003,"Actor1","Actor4"
"Movie4",2003,"Actor1","Actor1"
"Movie5",2003,"Actor1","Actor3"
"Movie6",2003,"Actor1","Actor14"
"Movie7",2003,"Actor1","Actor6"
"Movie8",2003,"Actor1","Actor7"
"Movie9",2003,"Actor1","Actor1"
"Movie10",2003,"Actor1","Actor1"
"Movie11",2003,"Actor1","Actor1"
"Movie1",2003,"Actor2","Actor2"
"Movie2",2003,"Actor2","Actor2"
"Movie3",2003,"Actor2","Actor2"
"Movie4",2003,"Actor2","Actor2"
"Movie5",2003,"Actor2","Actor2"
"Movie6",2003,"Actor2","Actor15"
"Movie7",2003,"Actor2","Actor2"
"Movie8",2003,"Actor2","Actor3"
"Movie9",2003,"Actor2","Actor2"
"Movie10",2003,"Actor2","Actor2"
"Movie11",2003,"Actor2","Actor2"
"Movie1",2003,"Actor3","Actor3"
"Movie2",2003,"Actor3","Actor4"
"Movie3",2003,"Actor3","Actor5"
"Movie4",2003,"Actor3","Actor6"
"Movie5",2003,"Actor3","Actor7"
"Movie6",2003,"Actor3","Actor8"
"Movie7",2003,"Actor3","Actor9"
"Movie8",2003,"Actor3","Actor10"
"Movie9",2003,"Actor3","Actor11"
"Movie10",2003,"Actor3","Actor12"
"Movie11",2003,"Actor3","Actor13"
